Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United Kingdom,,,,,,,,,,,,,,,,85803890000,69696610000,1.15E+11,1.29E+11,30095770000,35975710000,1.90E+11,1.96E+11,2.26E+11,2.36E+11,3.53E+11,4.73E+11,6.80E+11,7.12E+11,8.14E+11,8.50E+11,9.90E+11,9.55E+11,1.15E+12,1.14E+12,1.33E+12,1.71E+12,2.07E+12,2.30E+12,2.95E+12,2.58E+12,2.15E+12,1.86E+12,2.43E+12,2.82E+12,3.06E+12,3.78E+12,3.85E+12,1.87E+12,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122100000,1899400000,1668300000,1658590000,1129550000,1387010000,920000000,500000000,280000000,350000000,640000000,480000000,610000000,760000000,2401290000,2844380000,2427020000,2947690000,3098510000,,,,,,,,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gambia, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84752030000,67061460000,1.07E+11,1.25E+11,1.45E+11,2.01E+11,2.65E+11,90200000000,1.13E+11,67586420000,33778890000,44876550000,82594240000,55154270000,42079580000,37163048981,50605060000,38370850000,53653980000,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income,,,,,,,,,,,,,,,,,,,,,2.44E+12,2.23E+12,2.59E+12,3.21E+12,3.14E+12,4.54E+12,6.19E+12,7.49E+12,9.15E+12,1.11E+13,9.13E+12,1.08E+13,1.02E+13,1.29E+13,1.37E+13,1.62E+13,1.85E+13,2.09E+13,2.49E+13,3.25E+13,3.00E+13,2.60E+13,2.20E+13,2.93E+13,3.42E+13,3.74E+13,4.50E+13,4.95E+13,2.74E+13,3.42E+13,3.89E+13,3.41E+13,3.95E+13,4.86E+13,5.00E+13,4.80E+13,5.10E+13,6.20E+13,5.49E+13,,
"Hong Kong SAR, China",,,,,,,,,,,,,,,,8100040000,11700010000,10528310000,12930600000,22220560000,39013300000,38980940000,21687340000,19558170000,23617550000,34593530000,53843770000,54073720000,74407440000,77565440000,83385870000,1.22E+11,1.72E+11,3.85E+11,2.70E+11,3.04E+11,4.49E+11,4.13E+11,3.44E+11,6.08E+11,6.23E+11,5.06E+11,4.63E+11,7.15E+11,8.61E+11,1.06E+12,1.71E+12,2.65E+12,1.33E+12,2.31E+12,2.71E+12,2.26E+12,2.83E+12,3.10E+12,3.23E+12,3.18E+12,3.19E+12,4.35E+12,3.82E+12,4.90E+12,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavily indebted poor countries (HIPC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513900000,892170000,2981670000,4232900000,2928580000,2508850000,2744640000,3127500000,8109770000,6125730000,10958640000,12918190000,29005630000,70222950000,27126480000,26618990000,25596130000,22558380000,,21484740000,20036880000,18414470000,20180810000,22764800000,20508990000,22458260000,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12988880000,16662910000,28597850000,32575670000,41934490000,46195630000,18465410000,30036630000,27708410000,18772970000,20760180000,19797410000,14513280000,17686950000,22553356584,31553860000,28934570000,32886530000,
